#  T(K)     E(eV/cell)    F(eV/cell)    Fc(eV/cell)   S(kB/cell)    Cv(kB/cell)
   10.00   34.28518851   34.28457574    1.92614452    0.71108383    1.91631269
   20.00   34.28991089   34.28268070    3.27886984    4.19511942    9.85996595
   30.00   34.30294438   34.27662387    4.41516167   10.18116734   20.54988522
   40.00   34.32531109   34.26473327    5.41090130   17.57430348   31.23331240
   50.00   34.35645433   34.24615666    6.30212725   25.59887029   40.83156555
   60.00   34.39531254   34.22056634    7.11006577   33.79721914   49.15092268
   70.00   34.44085212   34.18792822    7.84874244   41.92917434   56.38407245
   80.00   34.49225958   34.14835347    8.52812582   49.88550561   62.81639493
   90.00   34.54895799   34.10201335    9.15566939   57.62828469   68.70078033
  100.00   34.61056145   34.04909461    9.73715853   65.15512519   74.22690239
  110.00   34.67682190   33.98977815   10.27721500   72.47966545   79.52719599
  120.00   34.74758590   33.92423003   10.77961637   79.62158371   84.69124913
  130.00   34.82276354   33.85259862   11.24750820   86.60175291   89.77875152
  140.00   34.90230696   33.77501462   11.68355052   93.44003360   94.82899227
  150.00   34.98619581   33.69159243   12.09002235  100.15437977   99.86735221
  160.00   35.07442725   33.60243188   12.46889809  106.76058099  104.90965260
  170.00   35.16700901   33.50762013   12.82190481  113.27230090  109.96506980
  180.00   35.26395463   33.40723342   13.15056603  119.70124295  115.03810448
  190.00   35.36527998   33.30133868   13.45623573  126.05736003  120.12992528
  200.00   35.47100086   33.18999493   13.74012512  132.34906791  125.23929625
  210.00   35.58113123   33.07325455   14.00332417  138.58344472  130.36322775
  220.00   35.69568187   32.95116429   14.24681888  144.76640980  135.49744418
  230.00   35.81465945   32.82376630   14.47150554  150.90288071  140.63673184
  240.00   35.93806583   32.69109881   14.67820242  156.99690984  145.77520825
  250.00   36.06589763   32.55319695   14.86765955  163.05180302  150.90653955
  260.00   36.19814586   32.41009323   15.04056687  169.07022262  156.02412247
  270.00   36.33479576   32.26181815   15.19756125  175.05427756  161.12123996
  280.00   36.47582683   32.10840058   15.33923233  181.00560222  166.19119603
  290.00   36.62121280   31.94986818   15.46612761  186.92542591  171.22743193
  300.00   36.77092189   31.78624767   15.57875680  192.81463416  176.22362518
