#  T(K)     E(eV/cell)    F(eV/cell)    Fc(eV/cell)   S(kB/cell)    Cv(kB/cell)
   10.00   17.12572970   17.12543270    0.96305162    0.34464798    0.95504734
   20.00   17.12810785   17.12449015    1.63939363    2.09907460    4.95682574
   30.00   17.13464447   17.12145583    2.20751891    5.10156193   10.29298490
   40.00   17.14583492   17.11549947    2.70536807    8.80065253   15.61278777
   50.00   17.16139129   17.10620081    3.15096041   12.80910087   20.38482086
   60.00   17.18078469   17.09340040    3.55490902   16.90077421   24.52539036
   70.00   17.20350709   17.07708312    3.92422671   20.95828994   28.13382509
   80.00   17.22916038   17.05730462    4.26389776   24.92863951   31.35050477
   90.00   17.25746206   17.03414963    4.57764890   28.79352600   34.29833682
  100.00   17.28822216   17.00771032    4.86837283   32.55184951   37.06899813
  110.00   17.32131730   16.97807600    5.13838042   36.21023387   39.72643937
  120.00   17.35666987   16.94532878    5.38956046   39.77821733   42.31413093
  130.00   17.39423321   16.90954220    5.62348573   43.26593400   44.86137467
  140.00   17.43398151   16.87078120    5.84148625   46.68306030   47.38781799
  150.00   17.47590284   16.82910275    6.04470152   50.03838431   49.90647549
  160.00   17.51999438   16.78455670    6.23411874   53.33967488   52.42572708
  170.00   17.56625904   16.73718661    6.41060146   56.59369054   54.95065558
  180.00   17.61470300   16.68703067    6.57491143   59.80624957   57.48396077
  190.00   17.66533402   16.63412238    6.72772563   62.98232268   60.02659725
  200.00   17.71816006   16.57849134    6.86964969   66.12612964   62.57822831
  210.00   17.77318838   16.52016375    7.00122856   69.24123134   65.13755569
  220.00   17.83042479   16.45916304    7.12295528   72.33061359   67.70256480
  230.00   17.88987311   16.39551026    7.23527796   75.39676198   70.27071260
  240.00   17.95153482   16.32922453    7.33860576   78.44172776   72.83907612
  250.00   18.01540874   16.26032334    7.43331368   81.46718589   75.40447363
  260.00   18.08149090   16.18882291    7.51974670   84.47448595   77.96356601
  270.00   18.14977438   16.11473840    7.59822325   87.46469700   80.51294300
  280.00   18.22024934   16.03808417    7.66903814   90.43864721   83.04919701
  290.00   18.29290304   15.95887395    7.73246514   93.39695886   85.56898603
  300.00   18.36771988   15.87712101    7.78875909   96.34007950   88.06908661
