#  T(K)     E(eV/cell)    F(eV/cell)    Fc(eV/cell)   S(kB/cell)    Cv(kB/cell)
   10.00    3.20367801    3.20364279    0.22672033    0.04087113    0.10639673
   20.00    3.20399819    3.20352784    0.38192872    0.27290960    0.77027195
   30.00    3.20522184    3.20307712    0.51014537    0.82961026    2.16460715
   40.00    3.20782651    3.20201101    0.62083355    1.68714189    3.90391379
   50.00    3.21195231    3.20011108    0.71848768    2.74821813    5.65771649
   60.00    3.21754067    3.19724127    0.80575491    3.92605523    7.28681852
   70.00    3.22446556    3.19332817    0.88438440    5.16188863    8.75902071
   80.00    3.23259392    3.18833877    0.95561933    6.41945698   10.08283539
   90.00    3.24180646    3.18226441    1.02038925    7.67725143   11.27914315
  100.00    3.25200325    3.17511073    1.07941565    8.92295271   12.37091053
  110.00    3.26310356    3.16689132    1.13327492   10.14990840   13.37944022
  120.00    3.27504378    3.15762391    1.18243816   11.35493954   14.32299810
  130.00    3.28777457    3.14732796    1.22729768   12.53696351   15.21646885
  140.00    3.30125801    3.13602331    1.26818519   13.69612400   16.07152153
  150.00    3.31546500    3.12372934    1.30538493   14.83324261   16.89701671
  160.00    3.33037304    3.11046456    1.33914311   15.94947752   17.69949572
  170.00    3.34596443    3.09624641    1.36967514   17.04611554   18.48366073
  180.00    3.36222490    3.08109122    1.39717100   18.12444975   19.25280023
  190.00    3.37914252    3.06501424    1.42179955   19.18571145   20.00914316
  200.00    3.39670694    3.04802966    1.44371185   20.23103591   20.75414135
  210.00    3.41490881    3.03015079    1.46304383   21.26144872   21.48868765
  220.00    3.43373935    3.01139006    1.47991845   22.27786416   22.21328067
  230.00    3.45319010    2.99175919    1.49444749   23.28109031   22.92814671
  240.00    3.47325271    2.97126922    1.50673300   24.27183751   23.63332872
  250.00    3.49391880    2.94993064    1.51686852   25.25072822   24.32875053
  260.00    3.51517990    2.92775342    1.52494008   26.21830712   25.01426271
  270.00    3.53702741    2.90474710    1.53102712   27.17505066   25.68967517
  280.00    3.55945251    2.88092083    1.53520317   28.12137602   26.35478005
  290.00    3.58244625    2.85628343    1.53753651   29.05764910   27.00936784
  300.00    3.60599946    2.83084343    1.53809070   29.98419156   27.65323849
