#  T(K)     E(eV/cell)    F(eV/cell)    Fc(eV/cell)   S(kB/cell)    Cv(kB/cell)
   10.00    3.17856675    3.17854989    0.22783902    0.01956945    0.06069079
   20.00    3.17878278    3.17848186    0.38400064    0.17460038    0.55353696
   30.00    3.17972958    3.17816868    0.51310807    0.60378185    1.75030656
   40.00    3.18192683    3.17735620    0.62464647    1.32599078    3.38985168
   50.00    3.18559723    3.17581985    0.72312067    2.26921976    5.12433363
   60.00    3.19073301    3.17340562    0.81118394    3.35124688    6.77420024
   70.00    3.19723220    3.17002198    0.89058948    4.51085111    8.28567519
   80.00    3.20497286    3.16562055    0.96258335    5.70827313    9.65725783
   90.00    3.21384044    3.16018021    1.02809725    6.91885850   10.90422343
  100.00    3.22373582    3.15369662    1.08785435    8.12766176   12.04595909
  110.00    3.23457666    3.14617545    1.14243236    9.32588319   13.10157353
  120.00    3.24629629    3.13762815    1.19230348   10.50861410   14.08818208
  130.00    3.25884168    3.12806926    1.23786091   11.67339670   15.02024404
  140.00    3.27217105    3.11751475    1.27943716   12.81929216   15.90945603
  150.00    3.28625160    3.10598095    1.31731709   13.94627549   16.76496022
  160.00    3.30105741    3.09348396    1.35174751   15.05484503   17.59370386
  170.00    3.31656775    3.08003933    1.38294430   16.14577424   18.40084090
  180.00    3.33276571    3.06566189    1.41109791   17.21995695   19.19011219
  190.00    3.34963711    3.05036568    1.43637757   18.27831394   19.96417441
  200.00    3.36716968    3.03416393    1.45893470   19.32173880   20.72486918
  210.00    3.38535247    3.01706915    1.47890553   20.35106882   21.47343516
  220.00    3.40417540    2.99909315    1.49641333   21.36707131   22.21067089
  230.00    3.42362894    2.98024712    1.51157011   22.37043935   22.93705783
  240.00    3.44370385    2.96054166    1.52447818   23.36179292   23.65285217
  250.00    3.46439107    2.93998689    1.53523127   24.34168313   24.35815299
  260.00    3.48568156    2.91859248    1.54391564   25.31059788   25.05295259
  270.00    3.50756623    2.89636769    1.55061089   26.26896812   25.73717376
  280.00    3.53003592    2.87332143    1.55539073   27.21717412   26.41069719
  290.00    3.55308135    2.84946233    1.55832359   28.15555149   27.07338180
  300.00    3.57669311    2.82479872    1.55947319   29.08439675   27.72507964
  310.00    3.60086169    2.79933870    1.55889900   30.00397245   28.36564681
  320.00    3.62557742    2.77309016    1.55665663   30.91451171   28.99495132
  330.00    3.65083056    2.74606078    1.55279824   31.81622233   29.61287862
  340.00    3.67661125    2.71825811    1.54737282   32.70929036   30.21933526
  350.00    3.70290958    2.68968950    1.54042646   33.59388332   30.81425129
  360.00    3.72971558    2.66036221    1.53200263   34.47015291   31.39758140
  370.00    3.75701926    2.63028333    1.52214239   35.33823750   31.96930530
  380.00    3.78481061    2.59945988    1.51088456   36.19826413   32.52942742
  390.00    3.81307966    2.56789873    1.49826594   37.05035041   33.07797610
  400.00    3.84181644    2.53560669    1.48432142   37.89460597   33.61500244
  410.00    3.87101105    2.50259047    1.46908415   38.73113390   34.14057883
  420.00    3.90065368    2.46885666    1.45258568   39.56003179   34.65479736
  430.00    3.93073457    2.43441182    1.43485604   40.38139271   35.15776810
  440.00    3.96124410    2.39926239    1.41592387   41.19530606   35.64961731
  450.00    3.99217272    2.36341477    1.39581649   42.00185820   36.13048568
  460.00    4.02351105    2.32687524    1.37456004   42.80113303   36.60052660
  470.00    4.05524983    2.28965006    1.35217949   43.59321246   37.05990447
  480.00    4.08737994    2.25174538    1.32869877   44.37817677   37.50879311
  490.00    4.11989242    2.21316731    1.30414079   45.15610498   37.94737423
  500.00    4.15277846    2.17392186    1.27852756   45.92707502   38.37583604
